Ticker,Group          ,Breakeven Price,1% at Risk        ,3% at Risk        ,5% at Risk        ,Proposed Price
PIA   ,A              ,10550          ,15873.17          ,17369.34          ,18134.0           ,18150
LGC   ,B              ,9240           ,19910.36          ,23545.52          ,25525.600000000002,23550
PIC   ,A              ,3140           ,5407.0            ,6081.0            ,6435.25           ,6440
LGL   ,C              ,1680           ,2995.0            ,3417.0            ,3659.0            ,3000
PJC   ,A              ,6300           ,10245.0           ,11663.5           ,12404.0           ,12400
LHG   ,B              ,20350          ,30857.9           ,33570.36          ,34928.35          ,33550
PLC   ,B              ,14950          ,23652.5           ,25991.25          ,27376.75          ,26000
LIX   ,A              ,32550          ,41333.0           ,43552.59          ,44659.55          ,44650
PMC   ,A              ,27300          ,39343.3           ,42549.4           ,44202.5           ,44200
LM8   ,C              ,3890           ,5758.0            ,6296.99           ,6606.0            ,5760
PMP   ,B              ,5550           ,8141.0            ,8930.08           ,9302.8            ,8930
LSS   ,B              ,5120           ,7842.0199999999995,8746.0            ,9243.2            ,8750
PMS   ,A              ,5970           ,10501.5           ,11797.0           ,12493.0           ,12500
MCG   ,C              ,720            ,1384.0            ,1596.0            ,1719.0            ,1380
POT   ,D              ,4610           ,7394.64           ,8193.0            ,8609.0            ,4610
MCP   ,B              ,7960           ,14090.0           ,15668.47          ,16525.45          ,15650
PPE   ,Not enough data,1260           ,3103.0            ,3933.0            ,4413.3            ,Not enough data
MDG   ,C              ,4390           ,7050.0            ,7804.0            ,8195.0            ,7050
PPP   ,B              ,5480           ,8832.02           ,9856.119999999999 ,10438.0           ,9860
PPS   ,C              ,5830           ,7985.4            ,8555.04           ,8867.4            ,7990
MHC   ,A              ,3760           ,6258.85           ,7075.85           ,7516.75           ,7520
PRC   ,C              ,8440           ,11900.0           ,12847.13          ,13341.2           ,11900
MSN   ,B              ,67800          ,89831.23          ,96666.57          ,100357.65         ,96700
PSC   ,C              ,6120           ,9072.26           ,9870.78           ,10290.0           ,9070
MWG   ,A              ,38750          ,63365.65          ,70371.81999999999 ,74057.55          ,74100
PSD   ,A              ,10100          ,15552.24          ,17099.72          ,17890.8           ,17900
NAF   ,C              ,15800          ,21566.72          ,22966.86          ,23833.55          ,21550
PSE   ,A              ,3550           ,6550.5            ,7435.5            ,7915.0            ,7920
NAV   ,A              ,3530           ,6904.0            ,8056.38           ,8781.3            ,8780
PTD   ,D              ,12400          ,15353.57          ,16094.42          ,16456.85          ,12400
NBB   ,C              ,13450          ,20855.61          ,22851.83          ,23927.0           ,20850
PTS   ,C              ,4560           ,6925.13           ,7677.0            ,8027.65           ,6930
NCT   ,A              ,57800          ,66440.0           ,68429.68          ,69467.0           ,69500
DTD   ,B              ,12300          ,19698.32          ,21884.8           ,22966.2           ,21900
NHA   ,C              ,6680           ,12102.78          ,14050.0           ,15105.95          ,12100
PV2   ,B              ,1010           ,1810.0            ,2047.0            ,2186.0            ,2050
NHH   ,C              ,10450          ,18362.41          ,20775.23          ,22047.05          ,18350
PVB   ,C              ,4080           ,7045.5599999999995,7813.34           ,8261.9            ,7050
VHM   ,A              ,54800          ,74639.64          ,79532.64          ,82234.4           ,82200
PVC   ,C              ,3360           ,5394.0            ,6076.97           ,6383.95           ,5390
NKG   ,B              ,18950          ,27210.36          ,29481.06          ,30836.1           ,29500
PCE   ,A              ,5740           ,9158.66           ,10305.49          ,10831.15          ,10850
NLG   ,B              ,23150          ,31053.0           ,33146.97          ,34202.0           ,33150
PSW   ,A              ,3400           ,5208.0            ,5872.0            ,6216.0            ,6220
NNC   ,A              ,11150          ,15793.0           ,16984.0           ,17629.0           ,17650
PVG   ,B              ,4890           ,6999.21           ,7525.0            ,7854.05           ,7520
NVL   ,B              ,47050          ,67037.5           ,72121.1           ,75213.5           ,72100
PVL   ,C              ,760            ,1656.0            ,1963.0            ,2125.0            ,1660
PSH   ,C              ,6430           ,9292.54           ,10223.0           ,10736.35          ,9290
PPY   ,A              ,2570           ,5001.0            ,5766.0            ,6177.9            ,6180
NT2   ,A              ,12000          ,15250.66          ,16035.98          ,16482.0           ,16500
PVS   ,A              ,8630           ,14210.24          ,15828.92          ,16700.0           ,16700
NTL   ,A              ,15700          ,22574.05          ,24491.15          ,25411.0           ,25400
QBS   ,C              ,590            ,1193.35           ,1419.05           ,1551.0            ,1190
NVT   ,C              ,3320           ,5140.96           ,5771.88           ,6103.8            ,5140
QHD   ,A              ,2530           ,8449.82           ,10808.92          ,12215.1           ,12200
OGC   ,D              ,2080           ,3349.0            ,3730.0            ,3959.0            ,2080
QST   ,Not enough data,8690           ,10880.89          ,11410.0           ,11721.45          ,Not enough data
OPC   ,B              ,25500          ,35161.98          ,38284.41          ,39889.45          ,38300
QTC   ,C              ,4970           ,8286.0            ,9134.0            ,9582.3            ,8290
PAC   ,C              ,19800          ,26774.06          ,28461.0           ,29510.15          ,26750
RCL   ,C              ,7080           ,9943.880000000001 ,10698.82          ,11087.0           ,9940
PC1   ,C              ,15950          ,22945.84          ,24784.44          ,25862.9           ,22950
DS3   ,A              ,2040           ,3130.88           ,3501.64           ,3695.0            ,3700
PDN   ,A              ,41300          ,60043.2           ,64629.2           ,67100.0           ,67100
S55   ,D              ,11700          ,18548.46          ,20755.46          ,21908.0           ,11700
PDR   ,B              ,42650          ,56354.65          ,60609.95          ,62839.25          ,60600
S74   ,B              ,1120           ,2378.38           ,2780.5699999999997,3040.0            ,2780
PET   ,A              ,6180           ,11329.03          ,13022.18          ,14078.15          ,14100
